# run 1000 events on device cpu with 1 threads
6.5704,6.5526,6.5669,6.5569,6.5568,6.5707,6.5546,6.5746,6.5530,6.5718
# run 1000 events on device cpu with 2 threads
12.8917,12.6962,12.8564,12.8353,12.7532,12.8464,12.8344,12.7205,12.8980,12.6818
# run 1000 events on device cpu with 4 threads
24.2483,24.2117,24.3314,24.2013,24.1824,24.2555,24.1634,24.2616,24.1105,24.3412
# run 1000 events on device cpu with 6 threads
34.3623,34.3559,34.1867,34.3968,34.2286,34.2260,34.2074,34.2210,34.2630,34.2245
# run 1000 events on device cpu with 8 threads
42.1008,42.4501,42.7083,42.2497,42.4176,42.1806,42.3169,42.4297,42.0523,42.0148
# run 1000 events on device cpu with 10 threads
48.9188,48.8957,48.8394,48.8674,49.2425,48.8863,48.6132,48.8496,48.3683,48.7385
# run 1000 events on device cpu with 12 threads
53.4469,53.8226,53.4859,53.7761,53.7714,53.4129,53.6119,53.3262,52.9963,53.2818
# run 1000 events on device cpu with 14 threads
57.4488,57.4283,57.3766,57.4537,57.1866,58.1389,57.7081,57.5624,57.7109,57.7329
# run 1000 events on device cpu with 16 threads
60.7356,61.0155,61.1128,60.8759,60.6355,60.9612,60.7188,60.8683,60.5691,60.5061
# run 1000 events on device cpu with 18 threads
63.1530,62.9894,62.9596,62.9293,63.0818,63.0736,63.2180,63.1183,63.0481,62.9650
# run 1000 events on device cpu with 20 threads
65.7214,65.6694,65.6268,65.9017,66.1034,65.7574,65.9010,65.7271,65.7753,65.9293
