threads,mean,std
1,2915.643333,8.507652438
2,1472.077778,4.799910879
4,751.0923333,4.653675268
8,383.2094444,1.473450297
16,216.8798889,1.401339042
32,118.2895556,1.564791049
40,96.3057,2.48615242
48,86.27767778,5.14003306
56,81.07853333,3.993762233
72,76.18763333,3.352493507
80,73.25188889,3.668774347
96,70.68465556,3.564172863
