threads,mean,std
1,2930.713333,20.43272008
2,1541.787778,8.025027691
4,928.645,19.68641143
8,558.5034444,20.84038122
16,365.58,11.79018893
32,295.554,6.176481846
40,254.8574444,5.402785349
48,261.1183333,5.106069795
56,289.8074444,9.211981887
72,284.0192222,21.1164897
80,284.445,14.81900869
96,278.6503333,8.298398565
