threads,mean,std
1,2895.337778,19.76994991
2,1483.013333,6.080594132
4,1481.597778,5.470015489
8,1461.036667,3.797041612
16,1464.198889,4.494292059
32,1473.193333,6.382552389
40,1489.137778,8.660998467
48,1492.867778,6.663587205
56,1488.92,7.056151572
72,1479.888889,10.82179334
80,1488.46,12.1333837
96,1482.143333,10.08467402
