mean,std
167.2171,5.578485725
278.8409,9.150846754
338.7637,4.024303972
340.7183,3.204492577
344.7771,4.791758444
320.5556,16.75775046
333.6131,4.433283645
330.0884,4.181816676
329.0469,3.527059413
327.2607,5.90084173
