# run 1000 events on device cpu with 1 threads
7.3655,7.3545,7.3293,7.2985,7.2821,7.3634,7.3178,7.2939,7.2799,7.3548
# run 1000 events on device cpu with 2 threads
14.4239,14.2955,14.3728,14.4012,14.3764,14.4124,14.3856,14.3199,14.2859,14.1122
# run 1000 events on device cpu with 4 threads
27.7674,27.8262,27.6935,27.8291,27.5626,27.6823,27.9421,28.0002,27.9901,27.9094
# run 1000 events on device cpu with 6 threads
40.5673,40.4321,40.6901,40.7583,40.8134,40.8673,40.8434,40.7907,40.6146,40.5810
# run 1000 events on device cpu with 8 threads
52.5168,52.3069,52.4844,52.5487,52.4880,52.4016,52.2256,51.6457,51.6505,52.1472
# run 1000 events on device cpu with 10 threads
63.1458,63.3338,63.1677,63.2962,63.0193,63.5507,63.5391,63.3735,63.4111,62.9422
# run 1000 events on device cpu with 12 threads
73.2080,73.4176,73.4771,73.4849,72.8994,73.0354,73.0116,73.2487,73.1913,73.1068
# run 1000 events on device cpu with 14 threads
81.8738,82.2370,81.5284,81.4505,82.0097,82.3818,81.4955,81.8550,82.2521,82.1838
# run 1000 events on device cpu with 16 threads
89.0258,88.5838,89.4046,88.8294,89.5804,88.9734,89.0116,88.8033,88.9656,88.9517
# run 1000 events on device cpu with 18 threads
94.8434,94.4948,94.5613,95.0123,94.9387,94.6560,94.8015,94.6357,95.0056,94.5777
# run 1000 events on device cpu with 20 threads
102.1010,101.8310,102.3280,102.1720,102.3630,102.1380,102.0250,102.5590,101.8500,102.0860
