# run 1000 events on device cpu with 1 threads
5.2727,5.2705,5.2700,5.1986,4.9821,5.1651,5.0380,5.1854,5.1898,4.1178
# run 1000 events on device cpu with 2 threads
10.3387,10.3199,10.3220,10.3375,10.3127,10.2961,10.3168,10.2869,10.2982,10.3116
# run 1000 events on device cpu with 4 threads
20.1651,20.1716,20.1646,20.1612,20.1545,20.0736,20.0647,20.1625,20.1614,20.1264
# run 1000 events on device cpu with 6 threads
29.8417,29.8833,29.8128,29.7992,29.8239,29.7793,29.8279,29.8751,29.8316,29.8158
# run 1000 events on device cpu with 8 threads
39.4835,39.4004,39.5596,39.4039,39.2469,39.2719,39.2475,39.6241,39.5831,39.5640
# run 1000 events on device cpu with 10 threads
48.7659,48.6610,48.7574,48.6820,48.7225,48.6070,48.6285,48.6770,48.7076,48.7382
# run 1000 events on device cpu with 12 threads
56.6616,56.6653,56.7266,56.6662,56.6555,56.5671,56.4515,56.4340,56.5419,56.4104
# run 1000 events on device cpu with 14 threads
63.4045,63.9017,63.1178,63.8515,64.1541,64.0479,63.8560,63.8660,63.7051,63.0713
# run 1000 events on device cpu with 16 threads
69.6871,69.8990,70.5552,69.5429,70.2910,70.4883,70.2219,70.2758,70.1997,70.1726
# run 1000 events on device cpu with 18 threads
75.6596,75.3113,75.7176,75.1285,75.5934,75.7512,75.7530,75.7520,75.8241,75.6625
# run 1000 events on device cpu with 20 threads
82.4230,82.5540,81.8728,81.8669,82.6182,82.4009,82.3643,82.5571,81.9474,81.5261
